datatime;timestamp;DevDatetime;CO [ppm];CO2 [ppm]
2025-03-17 04:56:44;1742176604;17.03.25 05:07:11;0.2;432
2025-03-17 04:57:44;1742176664;17.03.25 05:08:04;0.1;431
2025-03-17 04:58:44;1742176724;17.03.25 05:09:08;0.2;431
2025-03-17 04:59:44;1742176784;17.03.25 05:10:07;0.2;434
2025-03-17 05:00:44;1742176844;17.03.25 05:11:11;0.2;431
2025-03-17 05:01:44;1742176904;17.03.25 05:11:59;0.2;435
2025-03-17 05:02:44;1742176964;17.03.25 05:13:03;0.1;432
2025-03-17 05:03:44;1742177024;17.03.25 05:14:08;0.1;430
2025-03-17 05:04:44;1742177084;17.03.25 05:15:11;0.1;436
2025-03-17 05:05:44;1742177144;17.03.25 05:15:59;0.2;431
2025-03-17 05:06:44;1742177204;17.03.25 05:17:03;0.2;429
2025-03-17 05:07:44;1742177264;17.03.25 05:18:07;0.2;432
2025-03-17 05:08:44;1742177324;17.03.25 05:19:11;0.2;432
2025-03-17 05:09:44;1742177384;17.03.25 05:20:11;0.2;432
2025-03-17 05:10:44;1742177444;17.03.25 05:21:03;0.2;430
2025-03-17 05:11:44;1742177504;17.03.25 05:22:07;0.2;432
2025-03-17 05:12:44;1742177564;17.03.25 05:23:02;0.1;432
2025-03-17 05:13:44;1742177624;17.03.25 05:24:06;0.2;434
2025-03-17 05:14:44;1742177684;17.03.25 05:25:10;0.2;431
2025-03-17 05:15:44;1742177744;17.03.25 05:26:07;0.2;435
